Turks and Caicos Islands,
Chad,12368071039
East Asia & Pacific (IDA & IBRD countries),1.07E+13
Europe & Central Asia (IDA & IBRD countries),4.57E+12
Togo,3866617463
Thailand,3.98E+11
Tajikistan,7633049792
Turkmenistan,35164210526
Latin America & the Caribbean (IDA & IBRD countries),5.91E+12
Timor-Leste,1293000000
Middle East & North Africa (IDA & IBRD countries),1.66E+12
Tonga,472441383
South Asia (IDA & IBRD),2.30E+12
Sub-Saharan Africa (IDA & IBRD countries),1.61E+12
Trinidad and Tobago,25694164489
Tunisia,45044176964
Turkey,8.74E+11
Tuvalu,39875750.67
Tanzania,39087748240
Uganda,23516083900
Ukraine,1.76E+11
Upper middle income,2.01E+13
Uruguay,51264390121
United States,1.62E+13
Uzbekistan,51821573338
St. Vincent and the Grenadines,692933740.7
"Venezuela, RB",3.81E+11
British Virgin Islands,
Virgin Islands (U.S.),4095000000
Vietnam,1.56E+11
Vanuatu,781702874.1
World,7.48E+13
Samoa,801152293.3
Kosovo,6473724785
"Yemen, Rep.",35401339869
South Africa,3.96E+11
Zambia,25503370699
Zimbabwe,14058378300
